Component,Dependency
"bookmarks/svelte/BookmarkTable.svelte","bookmarks/svelte/BookmarkListItem.svelte"
"common/svelte/AliasControl.svelte","common/svelte/TagsInput.svelte"
"common/svelte/AssessmentRatingPicker.svelte","common/svelte/entity-pickers/AssessmentDefinitionPicker.svelte"
"common/svelte/AssessmentRatingPicker.svelte","common/svelte/RatingPicker.svelte"
"common/svelte/AssessmentRatingPicker.svelte","common/svelte/Markdown.svelte"
"common/svelte/DataExtractLink.svelte","common/svelte/Icon.svelte"
"common/svelte/DataTypeDecoratorNodeContent.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"common/svelte/DataTypeDecoratorNodeContent.svelte","common/svelte/Icon.svelte"
"common/svelte/DataTypeDecoratorNodeContent.svelte","common/svelte/Tooltip.svelte"
"common/svelte/DataTypeDecoratorNodeContent.svelte","common/svelte/DataTypeDecoratorTreeTooltip.svelte"
"common/svelte/DataTypeDecoratorTreeNode.svelte","common/svelte/Icon.svelte"
"common/svelte/DataTypeDecoratorTreeNode.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"common/svelte/DataTypeDecoratorTreeNode.svelte","common/svelte/DataTypeDecoratorNodeContent.svelte"
"common/svelte/DataTypeDecoratorTreeTooltip.svelte","common/svelte/DescriptionFade.svelte"
"common/svelte/DataTypeDecoratorTreeTooltip.svelte","common/svelte/Icon.svelte"
"common/svelte/DataTypeDecoratorTreeTooltip.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"common/svelte/DataTypeDecoratorTreeTooltip.svelte","common/svelte/LastEdited.svelte"
"common/svelte/DataTypeDecoratorTreeTooltip.svelte","data-types/components/data-type-decorator-section/context-panel/DataTypeDecoratorViewTable.svelte"
"common/svelte/DataTypeDecoratorTreeView.svelte","common/svelte/DataTypeDecoratorTreeNode.svelte"
"common/svelte/DataTypeDecoratorTreeView.svelte","common/svelte/SearchInput.svelte"
"common/svelte/DataTypeNodeTooltipContent.svelte","common/svelte/Icon.svelte"
"common/svelte/DataTypeNodeTooltipContent.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"common/svelte/DataTypeNodeTooltipContent.svelte","common/svelte/DescriptionFade.svelte"
"common/svelte/DataTypeNodeTooltipContent.svelte","common/svelte/NoData.svelte"
"common/svelte/DataTypeNodeTooltipContent.svelte","common/svelte/Markdown.svelte"
"common/svelte/DataTypeTreeNode.svelte","common/svelte/Icon.svelte"
"common/svelte/DataTypeTreeNode.svelte","common/svelte/RatingCharacteristicsDecorator.svelte"
"common/svelte/DataTypeTreeNode.svelte","common/svelte/UsageCharacteristicsDecorator.svelte"
"common/svelte/DataTypeTreeNode.svelte","common/svelte/DataTypeNodeTooltipContent.svelte"
"common/svelte/DataTypeTreeNode.svelte","common/svelte/Tooltip.svelte"
"common/svelte/DataTypeTreeSelector.svelte","common/svelte/DataTypeTreeNode.svelte"
